"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS"
"1485951852037-1","Rodrigo","liquibase/1.1/db-changelog-1.1.xml","2017-10-03T13:43:55.246","1","EXECUTED","7:bf975cfc281ea73d40e190f394711975","createTable tableName=liquidbase_table_test_2","","","3.5.3","()","","7049035235"
"tag-1.0","test","src/main/resources/liquibase/db-changelog-master.xml","2017-10-03T13:43:55.251","2","EXECUTED","7:5560655641c5ef77bca6b90c5b234724","tagDatabase",,"","3.5.3","()","","7049035235"
